book_title,author_name,keywords
The Book of Love,Kathleen McGowan (Goodreads Author),hurling; jacket; dust; hardcover; new; hurley; irish; ball; film; song; sport; match; game; character; county; player; ireland; played; team; baseball
Stand Still Like the Hummingbird,Henry Miller,miller; henry; essays; tropic; money; stories; statements; postcard; parody; cheek; frontiers; magazines; symbolic; thoreau; painting; anderson; sherwood; readable; luminous; provoked
Legacy of the Drow,R.A. Salvatore,salvatore; spider; tsr; followers; drizzt; drow; urden; vengeance; contains; driven; adventures; allies; queen; fantasy; fight; realms; forgotten; vector; novels; write
The Garden of Rama,"Arthur C. Clarke, Gentry Lee",rama; solar; species; nicole; arrived; unknown; rendezvous; colony; did; years; humans; human; raman; eighty; spaceship; uncovered; solved; expedition; preparation; craft
Things Grak Hates,Peter J. Story (Goodreads Author),kuang; poppy; things; hates; nature; voyager; katabasis; yellowface; evil; human; unconventional; robust; sociopath; manipulation; benevolent; satire; power; contempt; despises; tightens
Liberty Belle,Max Cummings,cummings; navy; military; special; clandestine; kyle; exist; news; ll; end; knows; things; osama; bin; complications; work; pakistan; compound; medals; operations
"Exploits & Opinions of Dr. Faustroll, Pataphysician: A Neo-Scientific Novel","Alfred Jarry, Roger Shattuck (Introduction), Simon Watson Taylor (Translator)",watson; taylor; alfred; retrieved; inspired; surrealism; surrealist; published; 60s; inventor; opinion; refused; solutions; 1965; imaginary; diverse; author; exploits; soft; london
Le Grand Cahier,Ágota Kristóf,notebook; la; et; trans; grand; les; ci; prix; mère; leurs; vie; du; grove; le; dans; une; trilogy; 978; yesterday; switzerland
Meditations on First Philosophy,"René Descartes, Donald A. Cress (Translator)",descartes; philosophy; originating; cress; maintaining; donald; fundamental; accessible; presented; revised; western; established; translation; bringing; completely; version; era; closer; style; clear
War Crimes,Christie Golden,warcraft; pocket; trek; trial; azeroth; voyager; star; horde; books; starcraft; forces; wars; attendance; tore; warchief; reviled; creed; relive; bronze; thirst
Starfire,Jennifer Lynn Alvarez (Goodreads Author),oates; star; anok; herds; herd; horses; leaders; series; fantasy; black; live; land; starfire; alvarez; execute; powerful; pegasi; lynn; hoole; joyce
Space Wolf: The First Omnibus,William King (Goodreads Author),goodreads; space; mutants; foul; aventures; marines; sf; voting; wolf; wins; multiple; choice; stars; savage; winners; adventures; chaos; fighting; follow; authors
Venus Aqueous: Book 1,Violet Plum (Goodreads Author),capra; venus; wonderful; swim; film; george; enabling; veg; dive; saturday; violet; episodes; particular; hadn; comics; champion; recommended; existed; aged; weekend
Reflecto Girl: Book 1,Violet Plum (Goodreads Author),capra; wonderful; film; unto; warns; heirloom; heed; girl; veg; behaviour; violet; george; receiving; episodes; comics; people; recommended; mystical; reflects; aged
Streams of Silver,R.A. Salvatore,salvatore; bruenor; tsr; drizzt; mithril; regis; wulfgar; silver; hall; realms; magic; rivers; birthplace; dwarven; halfling; lightless; shine; racism; icewind; streams
Megan & Flos: Book 1,Violet Plum (Goodreads Author),capra; megan; loves; wonderful; film; kind; george; person; won; christmas; breathing; females; principled; glance; potter; films; yeah; telepathic; flowers; smell
Vampire of the Mists,Christie Golden,vampire; warcraft; pocket; trek; voyager; star; count; dark; books; starcraft; transported; mists; gains; gothic; careful; heritage; rage; wars; von; creed
Home of the Brave,Katherine Applegate,applegate; zoey; africa; mother; winter; 1996; series; cow; sting; new; ivan; 1994; katherine; 2008; foster; minnesota; immigrant; owns; warmth; hardship
White Wolf,David Gemmell,gemmell; damned; legend; assassins; travel; lands; waylander; skilgannon; temple; monastery; ageless; gathers; ridden; foes; seconds; spreads; narrow; divide; druss; intent
"Haunting (Hexed Thrillogy, #1)",Max Cummings,cummings; conner; follow; lifted; conclusions; death; fundamentally; agonizing; veil; paranormal; discoveries; 18; alpha; mature; pulling; intended; depression; cancer; results; twists
Stalin: The Court of the Red Tsar,Simon Sebag Montefiore (Goodreads Author),bowery; greer; stalin; gallery; leigh; montefiore; london; fergus; gives; portrait; villas; dictatorship; debauched; meshing; power; dictator; sebag; dinners; courtiers; carried
Ordinary Men: Reserve Police Battalion 101 and the Final Solution in Poland,Christopher R. Browning,browning; jews; ordinary; men; unit; holocaust; solution; actions; aged; hitler; middle; poland; group; police; nazi; jewish; 1942; shootings; minority; evaded
Delicacy,David Foenkinos,offbeat; steels; attachments; worker; heartbroken; la; le; represents; widow; opposite; unexpectedly; les; emotional; losing; david; seven; falls; beloved; husband; marriage
Patina,Jason Reynolds,reynolds; mom; patty; atheneum; runs; attitude; run; bad; book; york; isbn; away; patina; builds; tolerate; stress; legs; day; young; depend
Glass Soup,Jonathan Carroll,carroll; nominee; soup; fantasy; glass; galen; special; edition; dead; occupy; fictions; january; mosaic; crowded; deftly; connoisseurs; highway; polar; abbey; language
Golem in the Gears,Piers Anthony,anthony; sea; piers; stanley; volunteered; avenging; distress; manages; wrath; respect; process; dragon; got; prove; xanth; free; quest; lost; comes; long
Young Stalin,Simon Sebag Montefiore (Goodreads Author),bowery; greer; stalin; gallery; leigh; prolific; politician; london; charismatic; priest; merciless; fergus; revolutionary; image; murderous; soviet; poet; shaped; astonishing; research
Naomi and Ely's No Kiss List,"Rachel Cohn, David Levithan (Goodreads Author)",levithan; list; friendship; kiss; day; love; cohn; dash; wrong; push; soul; lily; ve; loves; ely; adult; playlist; norah; boy; naomi
River of Stars,Guy Gavriel Kay (Goodreads Author),kay; thierry; kitai; emperor; ways; orane; ferrieres; dark; battling; women; dynasty; court; inspired; later; brightness; villar; sarantium; sarantine; valerius; life
The Kept Woman,Karin Slaughter (Goodreads Author),slaughter; trent; thriller; georgia; winner; site; karin; cop; nomination; blindsighted; away; loss; series; case; crime; best; award; destroy; town; soon
Sashenka,Simon Sebag Montefiore (Goodreads Author),bowery; greer; gallery; leigh; london; fergus; young; tsar; petersburg; rasputin; dissolute; governess; 1916; cruelty; seduction; archives; portrait; disappearing; stalin; slips
Midnight Falcon,David Gemmell,gemmell; bane; legend; rigante; father; son; waylander; demonblade; emerald; seidh; bore; tawny; illegitimate; bastard; acceptance; highlanders; connavar; soaked; outcast; crown
Consequences: Opal & Origin,Jennifer L. Armentrout (Goodreads Author),katy; armentrout; ash; blood; novella; series; flesh; jennifer; lynn; 2013; 1001; end; spin; rt; hybrids; opal; 2015; 2014; lingers; torturing
Discourse on Method and Meditations on First Philosophy,"René Descartes, Donald A. Cress (Translator)",descartes; la; en; su; como; obra; para; entre; todo; lo; historia; del; es; el; se; philosophy; body; manera; menos; intentó
"Rich Man, Poor Man",Irwin Shaw,shaw; irwin; stock; copy; engrossing; hates; finish; man; poor; francisco; san; million; examiner; calls; actually; reader; forget; bestseller; fascinating; rich
Tweak: Growing Up On Methamphetamines,Nic Sheff,addiction; nic; memoirs; raw; recovery; growing; harrowing; atheneum; picture; road; fall; harmony; young; award; readers; living; consultant; bafta; plunge; pot
The FitzOsbornes in Exile,Michelle Cooper (Goodreads Author),green; sophie; veronica; family; hank; lazy; governess; enticing; fitzosborne; shimmering; toby; youtube; wills; charlotte; shelter; season; nations; fault; driving; charming
More Than a Carpenter,Josh McDowell,mcdowell; bernardino; skeptic; carpenter; deity; christianity; josh; timeless; copies; san; worldwide; tool; purpose; million; impact; doubt; christ; evidence; examination; christian
The Little Giant of Aberdeen County,Tiffany Baker (Goodreads Author),truly; nominations; serena; bob; morgan; jane; catching; goodreads; town; gaiman; listed; wins; suzanne; neil; collins; cast; multiple; choice; robert; votes
"Winter: A Berlin Family, 1899-1945",Len Deighton,deighton; len; century; germany; german; winter; rise; portrait; half; rich; spy; heyday; kaiser; powerfully; berlin; rings; currents; prelude; ipcress; superbly
The Gods of Mars,"Edgar Rice Burroughs, Michael Whelan (Illustrator)",whelan; eden; mars; carter; exile; vanished; escaped; trapped; returned; loved; legendary; john; beloved; michael; science; alive; earth; art; finally; beautiful
Open City,Teju Cole,cole; julius; city; wanders; residency; unrecognizable; nigerian; open; encountering; facets; breakup; tightly; classes; environment; territory; thief; opportunity; release; covers; manhattan
Emily Windsnap and the Monster from the Deep,"Liz Kessler, Sarah Gibb (Illustrations)",windsnap; emily; tail; kessler; mermaid; fabulous; plenty; warmth; liz; monster; grade; engaging; charm; enchanting; turning; page; middle; philippa; fantasy; characters
Who Put That Hair in My Toothbrush?,Jerry Spinelli,spinelli; calls; hair; sibling; greg; cockroaches; hockey; rivalry; ice; gettysburg; finest; actually; realize; plimpton; eileen; care; tragedy; battle; school; home
Emily Windsnap and the Ship of Lost Souls,"Liz Kessler, Sarah Gibb (Illustrations)",windsnap; emily; ship; kessler; liz; able; aaron; atlantis; philippa; pirate; island; sea; return; fisher; haunt; land; poppy; times; allure; uncovering
Ravenheart,David Gemmell,gemmell; rigante; legend; ravenheart; invading; bastard; wishing; connavar; fires; outlaw; forge; wood; exploits; fighter; waylander; talents; defeated; preserve; inspire; bane
Years,LaVyrle Spencer,spencer; teddy; held; endearment; story; fragrant; womanhood; plains; stepped; remembered; fields; beds; hummingbird; vows; teaching; spirited; sweeping; fulfillment; heartache; avon
Love Is the Higher Law,David Levithan (Goodreads Author),levithan; claire; jasper; teens; peter; day; lives; cohn; dash; push; lily; ely; adult; forever; playlist; norah; boy; naomi; school; young
Hold Me Closer: The Tiny Cooper Story,David Levithan (Goodreads Author),grayson; levithan; musical; tiny; day; cooper; introduced; cohn; dash; push; lily; ely; adult; playlist; norah; boy; naomi; young; rachel; nick
Eggs,Jerry Spinelli,spinelli; friendship; david; gettysburg; plimpton; mother; father; eileen; sarcastic; lives; tumultuous; forge; quirky; year; framed; letting; 13; damaged; old; tight
Midnight Mass,F. Paul Wilson (Goodreads Author),vampires; repairman; isbn; jack; wilson; fixes; cattle; conquest; 7653; vampire; wheels; quick; human; south; humanity; short; healer; available; tales; york
Night Mare,Piers Anthony,mare; anthony; piers; night; xanth; invading; unforgiving; horrible; exiled; gained; barbarian; trent; relentless; coulson; message; begun; elwood; paperback; warriors; discovered
Stormrider,David Gemmell,gemmell; ravenheart; rigante; legend; men; face; ignited; unaware; highlanders; waits; advancing; immense; outlaw; mountains; spark; forged; ease; sight; unite; glorious
The Young Lions,Irwin Shaw,shaw; irwin; confusion; jaded; conveys; complexity; portrays; perceptive; war; scope; lions; producer; shy; young; jewish; points; nazi; novelist; vivid; film
Bitter Sweet Love,Jennifer L. Armentrout (Goodreads Author),armentrout; seven; days; ash; blood; novella; series; flesh; announced; personally; gargoyle; maintaining; warden; jennifer; lynn; temptation; conditions; earn; trace; 2013
"The Civil War, Vol. 2: Fredericksburg to Meridian",ShelFoote,duvall; fredericksburg; meridian; narrative; gettysburg; lincoln; davis; war; followed; lee; great; film; south; north; volume; altman; battle; kubrick; crowds; standoff
If I Lie,Corrine Jackson (Goodreads Author),quinn; carey; sisters; novels; ink; focuses; haven; sunrise; boyfriend; guy; series; women; sea; secrets; cheater; branded; shunned; mia; perception; afghanistan
Hitler's Daughter,Jackie French,hitler; mark; australian; french; daughter; anna; australia; award; story; book; wombat; game; children; known; fairies; rainy; weaving; premier; friends; ffrench
Raffles: The Amateur Cracksman,"E.W. Hornung, Richard Lancelyn Green (Editor)",holmes; sherlock; stealing; law; watson; crime; doyle; burglar; devilishly; plucky; thieves; bunny; counts; gentleman; indulges; conan; sport; jewels; arthur; influenced
Kill Me Softly,Sarah Cross (Goodreads Author),patterson; fairy; mira; tales; rivage; curses; beau; brothers; tale; obnoxious; birthplace; secrecy; distress; sixteenth; shrouded; beast; guardians; strangely; playboy; awakened
Hummingbird,LaVyrle Spencer,spencer; lady; endearment; stiff; propriety; rude; abigail; embers; disturbingly; robbery; aching; commanded; stubborn; challenged; waking; doorstep; nurse; burned; colorado; beds
The Hero's Lot,Patrick W. Carr (Goodreads Author),errol; kingdom; poet; novelist; born; american; writer; callowford; conclave; luis; merakh; la; compulsion; bid; troubles; accomplish; resisting; january; sends; convicted
Native Realm: A Search for Self-Definition,"Czesław Miłosz, Catherine S. Leach (Translator)",poland; polish; early; press; cambridge; university; elegantly; fifties; autobiography; nobel; sketches; life; consciousness; defined; midst; radically; possibility; providing; intellectual; european
المرتد,حسن الجندي,يا; من; al; theater; jundi; حرف; العجل; الساعة; داخل; ibn; على; moroccan; omar; hassan; بأن; بما; أيها; arabic; هنا; بحق
Morningstar,David Gemmell,gemmell; macedon; mace; legend; hood; mercenary; lion; thief; internationally; hailed; robin; honor; soldier; wealthy; based; prince; hero; filled; original; action
Lying Season,Karina Halle (Goodreads Author),moore; dex; perry; film; palomino; cared; seattle; tormented; malicious; shady; amateur; fine; secretly; ghosts; jennifer; week; partner; girlfriend; increasingly; fought
Sins & Needles,Karina Halle (Goodreads Author),moore; camden; ellie; used; counting; film; freckleface; artist; strawberry; role; actress; tattoo; scam; palm; wiser; julianne; thriving; dare; performance; refuse
Oblivion,Jennifer L. Armentrout (Goodreads Author),armentrout; ash; weak; blood; katy; thing; wanting; novella; trouble; series; flesh; need; jennifer; lynn; 2013; 1001; swartz; cuz; spin; obsidian
Reign of Shadows,Sophie Jordan (Goodreads Author),kingsolver; luna; tower; prize; darkness; copperhead; bellwether; vegetable; congo; virginia; arizona; unspoken; eclipse; perpetual; braving; depends; seized; animal; believing; appalachia
The Legend of Drizzt: The Collected Stories,R.A. Salvatore,salvatore; stories; drizzt; tsr; collected; dragon; legend; short; epic; classic; tale; realms; panther; origin; entreri; jarlaxle; years; included; sisters; startling
لقاء مع كاتب رعب,حسن الجندي,خادم; طالما; إن; al; theater; jundi; في; من; ibn; moroccan; إنما; منه; لها; أنت; محمد; استخدامه; نجح; omar; hassan; يا
Dragon on a Pedestal,Piers Anthony,anthony; dragon; piers; amnesia; ivy; gap; mass; hungry; headed; probably; spell; escaped; xanth; paperback; forget; trouble; worse; right; edition; land
Black Wind,F. Paul Wilson (Goodreads Author),repairman; honor; isbn; jack; wilson; love; fixes; repay; samurai; ravages; debt; 7653; war; japan; cult; slater; frank; hated; wheels; quick
The Library Card,Jerry Spinelli,spinelli; card; blue; gettysburg; ticket; lurking; doors; plimpton; humorous; newbery; possibilities; jerry; eileen; heartbreaking; winner; library; april; amazing; range; imagined
The Redwall Collection,Brian Jacques,redwall; jacques; laughter; escapes; villain; enthralling; wonder; packed; liverpool; truly; tragedy; touch; hero; mystery; danger; adventure; tale; things; great; long
The Star Garden,Nancy E. Turner,sarah; turner; nancy; columbia; plants; peoples; british; indigenous; udell; isbn; plant; remains; plan; research; discovers; press; royal; handbook; friend; agnes
The Wave,"Todd Strasser (Goodreads Author), Morton Rhue",trapped; wave; help; classroom; students; body; young; association; adults; library; history; school; alto; laurie; saunders; 1969; discipline; movements; incident; occurred
The War on Women,Sue Lloyd-Roberts,roberts; lloyd; women; female; news; uk; reports; bbc; gap; programme; globe; facing; honours; starts; experiences; channel; korea; london; different; gross
Peculiar Treasures,Robin Jones Gunn (Goodreads Author),katie; born; novelist; weldon; poet; christy; rick; decision; writer; job; god; english; playwright; snags; corona; bouquet; treasures; chile; define; solace
Van de koele meren des doods,Frederik van Eeden,van; het; een; en; haar; ze; met; walden; dutch; aan; eating; meat; 07; quest; psychiatrist; 1896; des; humanity; 1911; happy
Who Goes There?,"John W. Campbell Jr., William F. Nolan (Goodreads Author) (Introduction)",gaiman; thing; basis; john; fans; written; carpenter; 1951; ensues; antarctic; novellas; scifi; landed; assume; discern; 1978; campbell; william; frightened; paranoia
Bütün Şiirleri,Orhan Veli Kanık,bir; turkish; sculpture; 1945; poems; bey; department; da; telegraph; translations; web; 1914; çok; olayı; şiirden; onu; yana; kendi; bu; murat
Fifty-one Shades: A Parody (First Three Chapters),Andrew Shaffer (Goodreads Author),parody; shaffer; grey; earl; shades; biden; student; nick; college; obama; philosophers; hope; cards; virginal; steele; unbelievably; lighter; ghosts; kinky; bella
Au revoir là-haut,Pierre Lemaitre,et; wynne; la; là; une; translation; camille; le; au; prix; du; guerre; frank; deux; english; cwa; les; morts; histoire; dagger
The Politics of Obedience: The Discourse of Voluntary Servitude,Étienne de La Boétie,la; voluntary; discourse; thoreau; machiavelli; gandhi; tolstoy; traditions; sixteenth; philosopher; seeks; influence; answer; question; government; important; political; prince; century; classic
"Montmorency: Thief, Liar, Gentleman?",Eleanor Updale,montmorency; london; respectable; scarper; dual; burglar; new; raids; plotting; petty; gentleman; fleeing; victorian; lifestyle; roles; thief; servant; glass; elusive; corrupt
Creative Visualization: Use the Power of Your Imagination to Create What You Want in Your Life,Shakti Gawain,creative; teaches; manifest; imaginations; deepest; creating; imagination; wrote; desires; literally; considered; meditations; create; use; transformation; want; classic; inner; readers; comes
Split Infinity,Piers Anthony,anthony; piers; phaze; proton; magic; master; stile; serf; technological; depended; xanth; decadent; totally; ruled; lay; learned; murdered; games; coulson; used
From Paris to Eternity,Clio Freya (Goodreads Author),swift; yang; fay; ia; paris; ke; di; orangtuanya; tidak; lain; andrew; music; dari; menjadi; namun; dengan; juga; tak; dan; pop
The Dead of Night,Peter Lerangis,dan; novelization; lerangis; singer; vespers; knew; series; members; reissue; ebook; clues; march; scholastic; friend; steels; prague; 39; impossibly; alleys; watchers
Oracle,Jackie French,australian; jackie; french; king; horse; future; 10; australia; award; hitler; ages; book; wombat; children; history; displeasure; earthquakes; 14; acrobatic; waves
Long Way Down,Jason Reynolds,reynolds; gun; buck; elevator; floor; atheneum; gets; brother; book; york; isbn; know; young; new; stops; jason; bigger; stamped; kiely; knows
The Highwayman,R.A. Salvatore,salvatore; tsr; staggering; drizzt; unimaginable; belongs; sword; potential; carries; distant; lonely; greater; struggles; blood; ago; discover; realms; magic; land; evil
November of the Heart,LaVyrle Spencer,spencer; lorna; gideon; boat; endearment; november; summer; craft; beds; hummingbird; vows; build; fulfillment; avon; sweet; club; morning; win; lavyrle; forgiving
Ironhand's Daughter,David Gemmell,gemmell; sigarni; baron; highlanders; leader; legend; conquered; stalked; cares; moor; concerns; prophecies; crushed; throw; fulfill; kings; ruled; fateful; rebellion; carries
A Waltz for Matilda,Jackie French,australian; french; australia; award; hitler; story; book; wombat; matilda; troopers; grips; father; children; drought; vote; actual; slums; rooted; terrified; flood
American Savages,J.J. McAvoy,mcavoy; melody; liam; downfall; cracking; savages; compare; jail; callahan; 18; villains; betrayed; planned; adults; reign; fbi; kid; just; director; pure
The Land of Laughs,Jonathan Carroll,france; carroll; nominee; marshall; fantasy; galen; edition; thomas; terrifying; magic; abbey; language; missouri; laughs; gardner; midwestern; undertake; austria; dreamy; wished
The Untouchables,J.J. McAvoy,mcavoy; liam; melody; family; film; love; readers; explict; hurting; past; callahan; presidential; election; multiple; 18; approaches; lying; focused; media; tears
Reawakened,Colleen Houck (Goodreads Author),tiger; reawakened; colleen; brothers; saga; rating; curse; tigers; average; prince; epic; metropolitan; godlike; curses; egyptian; spring; ceremony; expects; lily; mankind
Rainbow Road,Alex Sanchez (Goodreads Author),gonzaga; jason; kyle; alex; opening; scholarship; trip; road; summer; country; love; philippine; lesbian; basketball; princeton; carrillo; glassman; nelson; meeks; cruz
Stronghold,Melanie Rawn,daw; rawn; dragon; roberson; andry; melanie; sunrunners; rohan; greenberg; invasion; trilogy; dragons; prince; peace; category; thorns; ruins; enemy; exiles; key
Dark Moon,David Gemmell,gemmell; desert; legend; northern; vanished; great; armies; waylander; city; duchies; emerged; healers; exhausted; bloodshed; deathwalker; raged; dukes; humankind; immune; poets
What They Always Tell Us,Martin Wilson (Goodreads Author),patterson; alex; james; outcast; precocious; eagerly; anymore; 10; brothers; street; barely; senior; common; moving; henry; running; experiences; suddenly; unexpected; popular
The Luckiest Girl in the World,Steven Levenkron,katie; cutting; self; girl; understanding; treating; injury; trouble; movie; world; steven; produced; little; fiction; work; best; absent; sensitivity; applies; levenkron
Vice: New and Selected Poems,Ai,atmosphere; poems; km; layer; altitude; temperature; ferocity; cruelty; trademark; floor; mi; tribune; atmospheric; greed; radiation; sin; earth; chicago; previous; collected
Loose Girl: A Memoir of Promiscuity,Kerry Cohen (Goodreads Author),fisher; girl; loose; wanted; film; comedy; love; memoir; understanding; attention; matter; young; body; sex; story; really; boy; million; leer; combine
Langit Vanilla,Wani Ardy,prosa; dan; malaysia; anthology; kuala; malaysian; musical; songs; poems; performing; freud; creative; music; prose; sang; radio; abdul; compilation; arts; guitar
Captain Alatriste,"Arturo Pérez-Reverte, Margaret Sayers Peden (Translation)",missouri; el; translation; las; en; madrid; translators; cruz; la; hombre; más; donde; entre; university; historia; del; captain; los; era; pen
Sailor Twain: Or: The Mermaid in the Hudson,Mark Siegel (Goodreads Author),green; twain; hudson; mermaid; hank; notoriously; foggy; nobleman; deepens; mythology; poe; beguiling; collision; atmosphere; port; sailor; greek; hemingway; rescues; reclusive
Tintin: Complete Companion,"Michael Farr, Hergé (Illustrator)",hergé; tintin; complete; sketches; comic; adventures; companion; line; establish; connoisseurs; readable; backgrounds; believable; references; drawings; attractive; 23; overview; appeal; teen
My Story,"Marilyn Monroe, Ben Hecht, Joshua Green",monroe; marilyn; icon; sex; dimaggio; actress; clipper; yankee; bottle; portrayed; prescient; poignantly; symbol; 1962; photos; adolescence; autobiography; unwitting; unwanted; celebrates
Going Under,S. Walden,walden; unsuspecting; accredited; league; club; friend; trouble; boys; girls; education; university; school; complicates; dogged; underestimates; doctoral; charity; slut; programs; secret
The Fall and Rise of Reginald Perrin,David Nobbs,reginald; humanist; pratt; sunshine; leonard; titled; sales; marrying; starring; disguise; clothes; strangely; executive; tv; beach; originally; eventually; afternoon; fame; national
Running Scarred,Jackie Williams (Goodreads Author),kelly; patrick; ellen; chateau; ex; memoir; terrible; role; series; appeared; discovers; forever; film; option; cottage; flinch; shaded; avoided; blown; surrendering
Dull Boy,Sarah Cross (Goodreads Author),patterson; avery; freaks; generosity; mentor; jock; freak; afford; flying; nights; spend; car; remarkable; information; heroes; maybe; decide; realizes; price; turned
A Cast of Stones,Patrick W. Carr (Goodreads Author),errol; kingdom; stones; priest; poet; novelist; born; american; writer; king; fate; soon; missives; arriving; callowford; travelers; coin; la; speculative; enlisted
Quest for Lost Heroes,David Gemmell,gemmell; nadir; emerge; legend; drenai; quest; face; seized; slavers; peasant; finn; gothir; desolation; girl; earl; bronze; hid; halls; waylander; shake
Wolf in Shadow,David Gemmell,gemmell; jerusalem; shannow; drowned; civilizations; world; legend; jon; evils; devil; walks; confront; safety; centuries; humanity; terrible; earth; quest; including; deadly
Road of the Patriarch,R.A. Salvatore,salvatore; limitless; tsr; drizzt; easily; humans; price; expanse; bloodstone; carve; pushed; realms; entreri; mercenary; dares; resolve; jarlaxle; flesh; ambition; drow
Give Up the Ghost,Megan Crewe (Goodreads Author),fictional; tim; list; ghosts; examples; animated; action; deceased; help; nobility; princes; vice; entwined; everybody; prefers; expose; scheme; hangs; dirty; surprised
The Snapper,Roddy Doyle,doyle; ha; roddy; sr; rabbitte; jimmy; novel; pints; snapper; progression; paddy; observes; father; dublin; authenticity; sparkling; store; clarke; pregnancy; candor
In the Realm of the Wolf,David Gemmell,gemmell; drenai; waylander; legend; daughter; shamans; blackest; slayer; closing; offered; evils; unfold; separated; empires; reward; mighty; summon; destructive; effort; feared
With a Tangled Skein,Piers Anthony,anthony; niobe; piers; luna; satan; challenge; xanth; hell; son; fate; coulson; elwood; laying; tangled; granddaughter; devious; deceit; maze; aspects; plots
The Last Light of the Sun,Guy Gavriel Kay (Goodreads Author),kay; thierry; lands; ships; orane; ferrieres; dark; cultures; dragon; north; brings; brightness; villar; sarantium; sarantine; valerius; masterful; king; change; written
Cop Town,Karin Slaughter (Goodreads Author),kate; slaughter; atlanta; city; trent; thriller; police; georgia; force; winner; karin; cop; nomination; blindsighted; lawson; sidelined; 1974; dominated; venture; rocks
The Double,"Fyodor Dostoyevsky, Constance Garnett (Translator)",garnett; heinemann; double; london; dostoyevsky; chatto; windus; translations; tolstoy; constance; 1846; hallucinatory; handled; idiot; karamazov; proceeds; abuses; work; theme; scorn
التبر,"إبراهيم الكوني, Ibrahim al-Koni",al; trans; لا; على; من; عن; ibrahim; رواية; أيضا; كان; الرواية; arabic; bleeding; هي; desert; إلى; austin; texas; william; arab
Destiny Binds,Tammy Blackwell (Goodreads Author),gorman; scout; believes; alex; librarianship; library; librarians; seers; donovan; values; shifters; mere; cole; lifelong; logic; wolves; charlie; moon; thoughts; ala
Two Years Before the Mast: A Sailor's Life at Sea,Richard Henry Dana Jr.,dana; voyage; pilgrim; harvard; years; american; left; measles; sooner; recognized; horn; jr; affected; alert; enlist; year; classmates; sailor; massachusetts; sight
The Go-Giver: A Little Story About a Powerful Business Idea,"Bob Burg, John David Mann (Goodreads Author)",business; joe; fable; leadership; 978; relevance; expanded; receive; isbn; success; giving; brings; authors; oclc; genre; skills; edition; referred; value; broker
Search for Senna,Katherine Applegate,applegate; senna; zoey; exist; shouldn; welcome; david; 1996; series; far; screams; friends; aspect; ivan; 1994; followed; probably; everworld; minds; couldn
The Bookshop,Penelope Fitzgerald,fitzgerald; bookshop; town; florence; knox; penelope; lacks; prosperous; seaside; leaks; doyenne; hostility; shop; mrs; kindhearted; 1959; invites; crosses; neighbors; apparently
The Accidental Empress,Allison Pataki (Goodreads Author),sisi; kaye; avon; emperor; laura; ny; franz; stephanie; joseph; hard; court; self; pataki; empress; entangled; marry; captivating; europe; historical; fort
Alan Turing: The Enigma,"Andrew Hodges, Douglas R. Hofstadter (Foreword)",computer; isbn; alan; enigma; foreword; discovery; idea; strange; indiana; account; university; book; tells; stanford; students; consciousness; perception; computers; concepts; translation
The Tower on the Rift,Ian Irvine (Goodreads Author),johnstone; com; doug; faber; ossians; herald; sydney; irvine; mirror; dry; ian; beat; http; www; great; tombstoning; morning; strathclyde; best; upcoming4
Foreplay,Sophie Jordan (Goodreads Author),kingsolver; hunter; just; needs; friend; stability; reece; bartender; hopelessly; craved; past; prize; roommates; yes; kissed; expects; notice; bedroom; like; player
Woodcutters,"Thomas Bernhard, David McLintock (Translator)",bernhard; narrator; artistic; translated; actor; society; der; honegger; arrives; writer; austrian; thomas; begins; maniacal; dissolution; impatiently; purports; reminiscent; reflections; unusually
A Shadow on the Glass,Ian Irvine (Goodreads Author),johnstone; doug; faber; ossians; warlords; magics; undertake; bands; charon; chronicler; immortals; millennial; mancers; machinations; aachim; llian; compelled; karan; beat; santhenar
Ghost King,David Gemmell,gemmell; queen; legend; witch; warrior; blood; king; land; swath; stalked; slain; flowed; angles; power; veins; undead; traitors; ghostly; bloodthirsty; birthright
Running in the Family,Michael Ondaatje,ondaatje; toronto; isbn; pendant; sri; lanka; baroque; simultaneously; mythology; exceptional; dutch; records; ear; 1970s; family; native; india; travel; heat; drug
Masks,Evangeline Anderson (Goodreads Author),green; chloe; mask; zoe; client; leather; clothes; hank; mark; problem; idea; rules; youtube; fault; sex; awesome; black; don; book; john
Complete Novels: Red Harvest / The Dain Curse / The Maltese Falcon / The Glass Key / The Thin Man,Dashiell Hammett,hammett; 1934; dashiell; continental; modern; op; american; maltese; mystery; hellman; detective; novels; volume; novel; spade; crime; falcon; stories; dell; man
Castle Roogna,Piers Anthony,anthony; jonathan; piers; millie; volunteers; dor; zombie; lurks; peril; magician; restore; xanth; ghost; haunted; prove; danger; turn; ancient; wants; coulson
Knight & Play,Kitty French (Goodreads Author),kelly; lucien; sophie; knight; memoir; role; series; appeared; away; film; gorgeous; minka; door; moment; let; black; 2011; albuquerque; spicy; instructs
Against Medical Advice,"James Patterson (Goodreads Author), Hal Friedman",agnostic; physicist; physics; american; medical; specialist; nobel; atheist; hell; theoretical; mathematician; rigid; unclear; urge; varying; certainty; compulsive; embarrassing; storytellers; prize
Cod: A Biography of the Fish that Changed the World,Mark Kurlansky,isbn; kurlansky; cod; basque; fish; wars; food; 978; 345; frozen; history; revolutions; triggered; birdseye; depended; profitable; recipes; vikings; merchants; blends
