book_title,author_name,keywords
The Rime of the Ancient Mariner,"Samuel Taylor Coleridge, Gustave Doré (Illustrator)",doré; ballads; poem; lyrical; wedding; use; modern; illustrations; depending; serenity; longest; 98; signal; progresses; fascination; shift; guest; reaction; ceremony; example
"These Is My Words: The Diary of Sarah Agnes Prine, 1881-1901, Arizona Territories",Nancy E. Turner,turner; nancy; columbia; plants; peoples; words; british; recording; elliot; heartfelt; indigenous; prine; recalls; unfamiliar; authentic; belong; breathtaking; frontier; harsh; shares
Every Day,David Levithan (Goodreads Author),day; levithan; justin; body; different; cohn; dash; rhiannon; interfere; attached; apply; guidelines; push; lily; ely; adult; playlist; wakes; norah; boy
The Horse Whisperer,Nicholas Evans,evans; horse; annie; booker; nicholas; pilgrim; whisperer; daughter; kidney; tom; film; belief; grace; sky; smoke; producer; television; weekend; ancient; london
The Maltese Falcon,Dashiell Hammett,hammett; spade; track; miss; finds; dashiell; fragrant; eloped; continental; jewel; bird; archer; hired; maltese; fat; treacherous; worth; treasure; op; sam
The Man Without Qualities,"Robert Musil, Burton Pike (Editor), Sophie Wilkins (Translator)",musil; skeptic; josef; grandiose; scientist; unpublished; drafted; remained; franz; vienna; eve; volumes; material; translation; elegant; text; ideas; emperor; soldier; lifetime
Tiger's Curse,Colleen Houck (Goodreads Author),tiger; curse; kelsey; reawakened; colleen; saga; rating; break; tigers; average; face; halfway; 300; hayes; yearning; breathless; ren; mystical; spellbinding; risks
Redwall,Brian Jacques,redwall; jacques; mice; liverpool; combine; tranquil; matthias; cluny; monk; bumbling; hardened; woodland; scourge; warlord; horde; apprentice; rat; mouse; recover; loyal
Half-Blood,Jennifer L. Armentrout (Goodreads Author),armentrout; aiden; bloods; ash; covenant; mortals; blood; pure; novella; series; flesh; children; jennifer; lynn; 2013; 1001; unions; sentinel; spin; servants
Origin,Jennifer L. Armentrout (Goodreads Author),katy; armentrout; ash; daemon; truths; blood; novella; series; flesh; jennifer; lynn; exposing; 2013; come; 1001; weather; adapt; luxen; raid; mount
Wait for You,Jennifer L. Armentrout (Goodreads Author),armentrout; ash; things; worth; blood; novella; cam; avery; make; series; flesh; jennifer; lynn; 2013; attention; 1001; changed; spin; 2015; 2014
The Satanic Verses,Salman Rushdie,rushdie; english; saladin; hijacked; expatriate; bombay; washing; proceed; sands; covered; explodes; dawn; returning; revelations; beach; india; snow; figures; biggest; visit
Tiger's Voyage,Colleen Houck (Goodreads Author),tiger; ren; kelsey; reawakened; colleen; head; saga; rating; curse; tigers; average; lokesh; confronts; traumatic; villainous; kishan; trio; affections; heartbreak; confused
The Raven,"Edgar Allan Poe, Gustave Doré (Illustrator)",doré; poem; raven; poe; illustrations; century; matched; engravings; work; edgar; melancholy; allan; 26; relevant; otherworldly; bleak; delight; prolific; admirers; imagery
